id,review
"""12311_10""",  naturally film s main theme mortality   nostalgia   loss innocence surprising rate highly old viewer young   craftsmanship completeness film enjoy   pace steady constant   character engage   relationship interaction natural showing need flood tear emotion   scream fear   shout dispute violence anger   naturally joyce s short story lend film ready structure perfect polished diamond   small change huston inclusion poem fit neatly   truly masterpiece tact   subtlety overwhelming beauty  
"""8348_2""",  movie disaster disaster film   great action scene   meaningful throw away sense reality   let s   word wise   lava burn   steam burn   t stand lava   divert minor lava flow difficult   let significant   scare I think actually believe movie bad significant talent film   I mean acting actually good   effect average   hard believe somebody read script allow talent waste   I guess suggestion movie start tv      look away   like train wreck   awful know come   watch   look away spend time meaningful content  
"""5828_4""",    movie kid   tonight child love   point kid s excitement great sitting impossible     I great fan   milne s book subtle hide wry intelligence childlike quality lead character   film subtle   shame disney benefit movie story contain page     doesn t permission use   I find wish theater replay    winnie pooh tigger     instead   character voice good   I bother kanga   music     twice loud dialog   incongruous film story   bit preachy militant tone   overall   I disappoint   I excitement child s face I like lumpy s laugh     
"""7186_2""",  afraid dark leave I impression different screenplay write   short feature length film   splice clumsily frankenstein s monster good   protagonist   lucas   creepy   hard draw bead secondary character   far sympathetic afraid dark achieve mediocrity approach     lucas simply psychotic confuse instead ghoulish   I want pack asylum rest character normal life  
"""12128_7""",  accurate depiction small time mob life film new jersey   story   character script believable acting drop ball     s worth watch   especially strong image   I I view     year ago young hood step start big thing   try   thing wrong   lead local boss suspect end skim   good place enjoy health   life film introduce joe pesce martin scorsese   present perennial screen wise guy   frank vincent   strong characterization visual   sound muddle acting amateurish   great story  
"""2913_8""",     valuable king tut s tomb    ok   maybe valuable   worth hunt    I notice comment movie year   I hope fresh post spark new comment   film I remember snippet childhood   recently I tired wait fox honour past   hunt korean dvd   english   unremovable korean subtitle    I win t long plot description    suffice time proper widescreen format leave I agape vista scope film   matte painting hold   palace set truly breathtake   small scale detail lend film depth richness   offer glimpse lifestyle egypt s poor elite   bazaar   hovel   dock   embalm house   tavern fascinating pharaoh s throne room   error abound large scale   notably dynastic succession    detail meticulously research vast majority hollywood s film   visually   s flaw    interior overly light colourful blend seamlessly exterior     movie credit audacious small large   tedious     absolutely   overact   underacted   yes        understate   apt description   long   absolutely   I wish spend time sinuhe s experience house death   hittite     romance   nefer     historically inaccurate   yes     shakespeare   chastise   I appreciate historical accuracy guy   ultimately remember cinema theater   history lesson  
"""4396_1""",  big misfire    script nice end lot actor play maybe I movie slightly grade   maybe hollywood remake movie little actor director sorry guy disappointment movie bad I watch like torture   I don t want spoil s opinion   advice watch movie   u like vote vote watch      way     fun watch    don t peek    watch   till end               
"""395_2""",  movie I watch   wonder   I watch   I find interesting   truck driver   I didn t find realistic     I ve use   lot lizard    I   hear travel country brand new seventy thousand dollar rv   thing pimp sample lady question   end movie     didn t           buck   cut    prostitute                     cut   yeah      I laugh lot lizard comment ivey   s lot lizard   ll screw     buck   man dress woman     equally weird    mean     prostitute   pay   s story young woman want life dead end job live home   s      remember    embarrass mother basically thing   dead end job    roof head job   turn trick road     I wonder          worth   d guess  
"""10616_1""",  bad movie I ve year   I ve lot movie    act terrible   plot whatsoever   point whatsoever   I feel rob I rent movie   recommend I mind   disgrace terrible movie   stay away terrible piece c   p   save money   
"""9074_9""",  medical student   kevin bacon   david labraccio   william baldwin   dr   joe hurley   oliver platt   randy steckle   julia robert   dr   rachel mannu   kiefer sutherland   nelson   experiment clandestine near death    afterlife experience    search medical    personal enlightenment     medical student s heart stop   revive temporary death spell experience bizarre vision   include forget childhood memory   flashback like child s nightmare   revive student disturb remember regretful act commit   experience afterlife   bring real life experience present   continue experiment   remembrance dramatically intensify     physically overcome     probe    transcend deeply death afterlife experience attempt find cure dvd release        motion picture release          kevin bacon   william baldwin   julia robert    kiefer sutherland early stage adult acting career   plot extremely intriguing   suspense building dramatic climax    script tight    convince   young actor    flatliner     star cult semi sci fi suspense   know     year ago film career young group actor skyrocket   I suspect director joel schumacher  
"""9252_3""",   mill floss   novel mary ann evan   write male pseudonym george eliot   I try read dull turgid novel year ago   unable finish   I ll review film version solely merit   I don t know faithfully follow original novel film s opening credit print old english typeface suggest mediaeval period   s poor choice film    th century set    hand   halfway film   close shot handbill advertise estate auction   handbill set authentic victorian type font   look     convince    film extremely convincing depiction architecture clothing early    th century england   precise location film s story disclose      judge actor   accent    d place cotswold   warwickshire plot     involve mill change hand couple time   couple decade   rival family   wealthy work class   I disagree imdb reviewer claim james mason small role film   mason large central role drama   scion wealthy family   spoilt petulant tom tulliver   mason darkly brood impetuous   performance belong film   I want   wuthere height   recast mason heathcliff multi generational saga   george eliot   middlemarch     main role film split actor apiece   child actor prologue   adult main narrative   prologue film feature write scene   establish tom tulliver wilful bully rag early age   young philip wakeham decent thoughtful   hard labour   philip earn halfpenny   tom try bully away   unwilling coin brute force   want philip       child actor movie   male female   talented attractive   unfortunately   child speak dialogue posh plummy voice accent utterly unlike accent actor actress play role adult   discrepancy attention staginess material   regrettably   later scene good prologue climax feature crowd labourer rainstorm   pace photograph early scene   modern viewer   britain     long sort material seriously     practically british comedian    trouble t   mill   squire    comedy routine   parody precisely subject matter   I difficulty watch movie straight face character actress martita hunt good small role   opening credit   old english typeface   misspell forename   marita    I ll rate dull movie    point      point apiece jame mason s performance   early scene child   authentic victorian typeset auctioneer s handbill  
"""9896_9""",  I film phoenix film festival today love   synopsis list program    old shakespearean actor invite child suicide party     I wasn t sure I I read I like idea    suicide party    sound interesting I      old shakespearean actor    I worry film kind dry bore   I decide try   I glad I   dry boring   dialogue great   funny clever way   pretentious difficult understand   peter falk terrific role   steal   I pleasantly surprised laura san giacomo s performance   usually bug I   I enjoy watch film   I think judge reinhold s actor   time kind cheesy look like act   like watch character   movie good I able forgive actor s awkwardness   I recommend film tell people soon available general public   know suicide hilarious  
"""574_4""",    love letter    movie clever   waste   focus letter wreak havoc small town   movie star cast   tom selleck alice drummond recently co star super hilarious           upset small town    great   look drug place   I t tell people camera try      sure didn t accomplish   tragic   potential laugh riot got sorrowfully waste  
"""11182_8""",  fantastic offering monkey island team long time come survive departure ron gilbert s worthy installment   gripe little short comparison previous   glorious lack disk swapping   roll mi   
